"X";"Number";"Group";"Class";"Order";"Family";"Genus";"Species";"Mass";"DM.WM";"Lat_deg";"Lon_deg";"LocationCode";"Elevation";"Date_original";"DateCode";"Date_start";"Date_end";"Jan";"Feb";"Mar";"Apr";"May";"Jun";"Jul";"Aug";"Sep";"Oct";"Nov";"Dec";"Year1";"Year2";"Year3";"Year4";"Time.period.for.FMR.estimation..h....1";"Time.period.for.FMR.estimation..h....2";"FMR_Watt";"FMR_kJday";"TAREFmean";"TALOCmean";"SOLRAD";"RHREFmean";"RHLOCmean";"Reference";"Comments";"referencia.original";"cita";"FMR_M";"Tanomalies";"TMEAN"
"21";21;847;"Bird";"Aves";"Procellariiformes";"Diomedeidae";"Diomedea";"Diomedea_exulans";295;0.34;-46.8666666666667;37.85;"3";NA;"April - May 1982 - 83";"3";"1982-04-01";"1983-05-31";0;0;0;1;1;0;0;0;0;0;0;0;1982;1983;NA;NA;NA;NA;3.37962962962963;292;NA;NA;NA;NA;NA;"L. N. Hudson, N. J. B. Isaac, D. C. Reuman, The relationship between body mass and field metabolic rate among individual birds and mammals. J. Anim. Ecol. 82, 1009-1020 (2013).";NA;"Adams et al 1986";"Adams, N. J., Brown, C. R., & Nagy, K. A. (1986). Energy Expenditure of Free-Ranging Wandering Albatrosses Diomedea exulans. Physiological Zoology, 59(6), 583-591.";-0.540167160717169;NA;NA
"22";22;848;"Bird";"Aves";"Procellariiformes";"Diomedeidae";"Diomedea";"Diomedea_exulans";350;0.34;-46.8666666666667;37.85;"3";NA;"April - May 1982 - 83";"3";"1982-04-01";"1983-05-31";0;0;0;1;1;0;0;0;0;0;0;0;1982;1983;NA;NA;NA;NA;3.49537037037037;302;NA;NA;NA;NA;NA;"L. N. Hudson, N. J. B. Isaac, D. C. Reuman, The relationship between body mass and field metabolic rate among individual birds and mammals. J. Anim. Ecol. 82, 1009-1020 (2013).";NA;"Adams et al 1986";"Adams, N. J., Brown, C. R., & Nagy, K. A. (1986). Energy Expenditure of Free-Ranging Wandering Albatrosses Diomedea exulans. Physiological Zoology, 59(6), 583-591.";-0.618775911916281;NA;NA
"23";23;1439;"Bird";"Aves";"Suliformes";"Sulidae";"Sula";"Sula_sula";795;0.34;16.75;-169.516666666667;"4";NA;"9 March - 15 May 1992";"4";"1992-03-09";"1992-05-15";0;0;1;1;1;0;0;0;0;0;0;0;1992;NA;NA;NA;"1.25";"62.4 - 93.6";12;1036.8;24.9825361;26.53460947;221.9384204;82.66204954;76.84136874;"L. N. Hudson, N. J. B. Isaac, D. C. Reuman, The relationship between body mass and field metabolic rate among individual birds and mammals. J. Anim. Ecol. 82, 1009-1020 (2013).";NA;"Ballance, 1995";"Ballance, L. (1995). Flight energetics of free-ranging Red-Footed Boobies. PHYSIOLOGICAL ZOOLOGY, 68, 887-914. https://doi.org/10.2307/30163937";0.075861742304161;NA;NA
"24";24;1440;"Bird";"Aves";"Suliformes";"Sulidae";"Sula";"Sula_sula";1002;0.34;16.75;-169.516666666667;"4";NA;"9 March - 15 May 1992";"4";"1992-03-09";"1992-05-15";0;0;1;1;1;0;0;0;0;0;0;0;1992;NA;NA;NA;"1.25";"62.4 - 93.6";9.2;794.88;24.9825361;26.53460947;221.9384204;82.66204954;76.84136874;"L. N. Hudson, N. J. B. Isaac, D. C. Reuman, The relationship between body mass and field metabolic rate among individual birds and mammals. J. Anim. Ecol. 82, 1009-1020 (2013).";NA;"Ballance, 1995";"Ballance, L. (1995). Flight energetics of free-ranging Red-Footed Boobies. PHYSIOLOGICAL ZOOLOGY, 68, 887-914. https://doi.org/10.2307/30163937";-0.341828060697981;NA;NA
"25";25;1441;"Bird";"Aves";"Suliformes";"Sulidae";"Sula";"Sula_sula";1050;0.34;16.75;-169.516666666667;"4";NA;"9 March - 15 May 1992";"4";"1992-03-09";"1992-05-15";0;0;1;1;1;0;0;0;0;0;0;0;1992;NA;NA;NA;"1.25";"62.4 - 93.6";14.9;1287.36;24.9825361;26.53460947;221.9384204;82.66204954;76.84136874;"L. N. Hudson, N. J. B. Isaac, D. C. Reuman, The relationship between body mass and field metabolic rate among individual birds and mammals. J. Anim. Ecol. 82, 1009-1020 (2013).";NA;"Ballance, 1995";"Ballance, L. (1995). Flight energetics of free-ranging Red-Footed Boobies. PHYSIOLOGICAL ZOOLOGY, 68, 887-914. https://doi.org/10.2307/30163937";0.10959742925571;NA;NA
"26";26;1442;"Bird";"Aves";"Suliformes";"Sulidae";"Sula";"Sula_sula";1080;0.34;16.75;-169.516666666667;"4";NA;"9 March - 15 May 1992";"4";"1992-03-09";"1992-05-15";0;0;1;1;1;0;0;0;0;0;0;0;1992;NA;NA;NA;"1.25";"62.4 - 93.6";9.3;803.52;24.9825361;26.53460947;221.9384204;82.66204954;76.84136874;"L. N. Hudson, N. J. B. Isaac, D. C. Reuman, The relationship between body mass and field metabolic rate among individual birds and mammals. J. Anim. Ecol. 82, 1009-1020 (2013).";NA;"Ballance, 1995";"Ballance, L. (1995). Flight energetics of free-ranging Red-Footed Boobies. PHYSIOLOGICAL ZOOLOGY, 68, 887-914. https://doi.org/10.2307/30163937";-0.380251502145432;NA;NA
"27";27;1443;"Bird";"Aves";"Suliformes";"Sulidae";"Sula";"Sula_sula";1080;0.34;16.75;-169.516666666667;"4";NA;"9 March - 15 May 1992";"4";"1992-03-09";"1992-05-15";0;0;1;1;1;0;0;0;0;0;0;0;1992;NA;NA;NA;"1.25";"62.4 - 93.6";15.9;1373.76;24.9825361;26.53460947;221.9384204;82.66204954;76.84136874;"L. N. Hudson, N. J. B. Isaac, D. C. Reuman, The relationship between body mass and field metabolic rate among individual birds and mammals. J. Anim. Ecol. 82, 1009-1020 (2013).";NA;"Ballance, 1995";"Ballance, L. (1995). Flight energetics of free-ranging Red-Footed Boobies. PHYSIOLOGICAL ZOOLOGY, 68, 887-914. https://doi.org/10.2307/30163937";0.156053206921544;NA;NA
"28";28;1444;"Bird";"Aves";"Suliformes";"Sulidae";"Sula";"Sula_sula";1080;0.34;16.75;-169.516666666667;"4";NA;"9 March - 15 May 1992";"4";"1992-03-09";"1992-05-15";0;0;1;1;1;0;0;0;0;0;0;0;1992;NA;NA;NA;"1.25";"62.4 - 93.6";18;1555.2;24.9825361;26.53460947;221.9384204;82.66204954;76.84136874;"L. N. Hudson, N. J. B. Isaac, D. C. Reuman, The relationship between body mass and field metabolic rate among individual birds and mammals. J. Anim. Ecol. 82, 1009-1020 (2013).";NA;"Ballance, 1995";"Ballance, L. (1995). Flight energetics of free-ranging Red-Footed Boobies. PHYSIOLOGICAL ZOOLOGY, 68, 887-914. https://doi.org/10.2307/30163937";0.280105855591522;NA;NA
"29";29;1445;"Bird";"Aves";"Suliformes";"Sulidae";"Sula";"Sula_sula";1090;0.34;16.75;-169.516666666667;"4";NA;"9 March - 15 May 1992";"4";"1992-03-09";"1992-05-15";0;0;1;1;1;0;0;0;0;0;0;0;1992;NA;NA;NA;"1.25";"62.4 - 93.6";20;1728;24.9825361;26.53460947;221.9384204;82.66204954;76.84136874;"L. N. Hudson, N. J. B. Isaac, D. C. Reuman, The relationship between body mass and field metabolic rate among individual birds and mammals. J. Anim. Ecol. 82, 1009-1020 (2013).";NA;"Ballance, 1995";"Ballance, L. (1995). Flight energetics of free-ranging Red-Footed Boobies. PHYSIOLOGICAL ZOOLOGY, 68, 887-914. https://doi.org/10.2307/30163937";0.379413040139686;NA;NA
"30";30;1446;"Bird";"Aves";"Suliformes";"Sulidae";"Sula";"Sula_sula";1200;0.34;16.75;-169.516666666667;"4";NA;"9 March - 15 May 1992";"4";"1992-03-09";"1992-05-15";0;0;1;1;1;0;0;0;0;0;0;0;1992;NA;NA;NA;"1.25";"62.4 - 93.6";12.7;1097.28;24.9825361;26.53460947;221.9384204;82.66204954;76.84136874;"L. N. Hudson, N. J. B. Isaac, D. C. Reuman, The relationship between body mass and field metabolic rate among individual birds and mammals. J. Anim. Ecol. 82, 1009-1020 (2013).";NA;"Ballance, 1995";"Ballance, L. (1995). Flight energetics of free-ranging Red-Footed Boobies. PHYSIOLOGICAL ZOOLOGY, 68, 887-914. https://doi.org/10.2307/30163937";-0.137862775446365;NA;NA
